Address,Sum of TotalCredits,Row Labels,Sum of total credit,,DIFFERENCE,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk,PLAT,RES,Transfer,,,"TRANSFER FROM PROVIDENCE BUS CTR TO ANDERSON-RAMSEY LLC RES 447-2006 12.17.13  ROADS 103,076.14"
2245 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2248 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2248 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2248 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2249 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2249 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2249 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2249 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2252 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2252 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2252 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2253 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2253 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2256 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2256 Dunhill Lane," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2256 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2256 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2257 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2257 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2257 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2257 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2260 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2260 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2261 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2261 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2261 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2261 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2264 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2264 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2265 Blackmoor Park Lane," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-115,NSWR RES698-2000,,,,
2265 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2265 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2265 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2268 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2269 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2269 Shaker Run Road," 	1,875.59 ",,,," 	1,875.59 ",,1476.22,,,81.15,0,318.22, 	0.00 ,L-105,NSWR RES698-2000,,,,
2269 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2272 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2273 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2273 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2276 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2276 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2277 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2277 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2280 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2281 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2281 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2284 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2285 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2285 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2288 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2289 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2289 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2292 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2292 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2293 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2293 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2296 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2297 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2297 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2300 Cross Creek Trace," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2300 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2301 Cross Creek Trace," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2301 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2301 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2304 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2304 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2305 Cross Creek Trace," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2305 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2305 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2308 Cross Creek Trace," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2308 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2308 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2309 Cross Creek Trace," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2309 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2312 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2312 Sunningdale Drive," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2313 Cross Creek Trace," 	4,667.00 ",,,," 	4,667.00 ",,2722,,,350,1277,318, 	-   ,L-463,NSWR RES698-2000,,,,
2316 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2320 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2324 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2329 Market Garden Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2356 Newtown Pike," 	103,076.14 ",,,," 	103,076.14 ",,103076.14,,,,,, 	-   ,DP2013-64,NSWR RES716-2013,,,,
273 Richardson Place," 	4,910.82 ",,,," 	4,910.82 ",,1409.2,1414.19,438.79,253.8,1194.84,200, 	0.00 ,M-554,SWR & NSWR RES282-2002,,,,
277 Richardson Place," 	7,601.43 ",,,," 	7,601.43 ",,2047.6,2471.21,520.93,391.46,1854.35,315.88, 	(0.00),M-554,SWR RES755-2001;NSWR RES282-2002,,,,
2900 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2904 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2908 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2912 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2916 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2920 Bobwhite Trail," 	8,351.81 ",,,," 	8,351.81 ",,4550.38,,,1420.57,1880.86,500, 	-   ,R-80,NSWR RES290-2002,,,,
2924 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2928 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2932 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2936 Bobwhite Trail," 	24,136.02 ",,,," 	24,136.02 ",,12722.1,,,3971.67,5802.25,1640, 	-   ,R-678,NSWR RES290-2002,,,,
2936 Polo Club Boulevard," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES698-2000,,,,
2984 Bobwhite Trail," 	24,136.02 ",,,," 	24,136.02 ",,12722.1,,,3971.67,5802.25,1640, 	-   ,R-678,NSWR RES290-2002,,,,
2993 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
2996 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
2997 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3000 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3000 Bobwhite Trail," 	10,466.26 ",,,," 	10,466.26 ",,4469.56,,,2162.13,2997.24,837.33, 	-   ,N-713,NSWR RES290-2002,,,,
3000 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3000 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3000 Shaker Oaks Court," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES698-2000,,,,
3001 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3001 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3001 Bobwhite Trail," 	4,995.50 ",,,," 	4,995.50 ",,2619.92,,,817.9,1212.22,345.46, 	-   ,N-657,NSWR RES290-2002,,,,
3001 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3001 Roundway Down Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3001 Sewanee Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES290-2002,,,,
3001 Shaker Oaks Court," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES698-2000,,,,
3001 Shaker Run Circle," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
3004 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3004 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3004 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3004 Sewanee Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES290-2002,,,,
3004 Shaker Oaks Court," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES698-2000,,,,
3004 Shaker Run Circle," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
3005 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3005 Old House Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-739,NSWR RES290-2002,,,,
3005 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3005 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3005 Roundway Down Lane," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3005 Shaker Oaks Court," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES698-2000,,,,
3005 Shaker Run Circle," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
3008 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3008 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3008 Bobwhite Trail," 	10,321.65 ",,,," 	10,321.65 ",,4393.72,,,2138.45,2962.15,827.33, 	-   ,N-713,NSWR RES290-2002,,,,
3008 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3008 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3008 Shaker Oaks Court," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES698-2000,,,,
3008 Shaker Run Circle," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
3009 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3009 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3009 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3009 Shaker Oaks Court," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES698-2000,,,,
3009 Shaker Run Circle," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
3012 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3012 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3012 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3012 Shaker Oaks Court," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES698-2000,,,,
3012 Shaker Run Circle," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-107,NSWR RES698-2000,,,,
3013 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3013 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3013 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3016 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3016 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3016 Bobwhite Trail," 	11,044.69 ",,,," 	11,044.69 ",,4772.91,,,2256.85,3137.6,877.33, 	-   ,N-713,NSWR RES290-2002,,,,
3016 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3017 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3017 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3017 Bobwhite Trail," 	8,441.77 ",,,," 	8,441.77 ",,3407.8,,,1830.67,2505.97,697.33, 	-   ,N-462,NSWR RES290-2002,,,,
3017 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3017 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3020 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3020 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3021 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3021 Blackmoor Park Circle," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-116,NSWR RES698-2000,,,,
3021 Bobwhite Trail," 	8,441.77 ",,,," 	8,441.77 ",,3407.8,,,1830.67,2505.97,697.33, 	-   ,N-462,NSWR RES290-2002,,,,
3021 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3021 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-106,NSWR RES290-2002,,,,
3024 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3024 Bobwhite Trail," 	11,044.69 ",,,," 	11,044.69 ",,4772.91,,,2256.85,3137.6,877.33, 	-   ,N-713,NSWR RES290-2002,,,,
3024 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-114,NSWR RES698-2000,,,,
3024 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES290-2002,,,,
3025 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3025 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-113,NSWR RES698-2000,,,,
3025 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES290-2002,,,,
3028 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3028 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-114,NSWR RES698-2000,,,,
3028 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES290-2002,,,,
3029 Adwalton Road," 	1,778.55 ",,,," 	1,778.55 ",,1037.06,,,133.52,486.6,121.37, 	(0.00),L-742,NSWR RES290-2002,,,,
3029 Polo Club Boulevard," 	1,590.91 ",,,," 	1,590.91 ",,1252.16,,,68.83,0,269.92, 	-   ,L-114,NSWR RES698-2000,,,,
3029 Quaker Hill Lane," 	1,267.22 ",,,," 	1,267.22 ",,997.39,,,54.83,0,215, 	-   ,L-108,NSWR RES290-2002,,,,
