Address,Sum of TotalCredits,Row Labels,Sum of total credit,,DIFFERENCE,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk,PLAT,RES,Transfer,,,"TRANSFER FROM PROVIDENCE BUS CTR TO ANDERSON-RAMSEY LLC RES 447-2006 12.17.13  ROADS 103,076.14"
1168 Deerhaven Lane," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1169 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
117 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
1172 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1173 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1177 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1185 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1187 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1189 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
1193 Oatlands Park," 	3,285.92 ",,,," 	3,285.92 ",,1643.42,,,542.22,908.32,191.96, 	0.00 ,L-883,NSWR RES370-2002,,,,
120 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
121 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
124 Somersly Place," 	7,245.25 ",,,," 	7,245.25 ",,1541.27,1444.79,662.69,566.12,2629.05,401.33, 	-   ,DP,SWR MEMO 7-28-04; NSWR MEMO 10-08-04,,,,
1500 Fitzgerald Court," 	2,463,700.50 ",,,," 	2,463,700.50 ",,2240114.99,15010.16,,0,193076.2,15499.15, 	0.00 ,DP,SWR RES425-2008;NSWR RES426-2008,,,,
