Lot,Account From,Account To,Agreement,Entry Type,Entry Date,Roads,Parks,Stormwater,Open Space,Non-Sewer,Sewer Trans.,Sewer Cap.,Sewer,,,,,
"1024 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1024 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1024 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1025 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1025 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1025 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1025 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1026 Sugarbush Trail Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1028 Jouett Creek Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1028 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1028 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1029 Bryce Point Lexington, KY",Unknown,Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1029 Squirrel Nest Lane Lexington, KY","North Forty Properties, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
"1029 Stonecrop Drive Lexington, KY","Ball Homes, LLC",Lexington Fayette Urban County Government (LFUCG),,Use Credits,1970-01-01,0,0,0,0,0,0,0,0,,,,,
