Address,D_amount,D_chk,D_date,D_paidby,D_Roads,D_SewerTransmission,D_SewerCapacity,D_Parks,D_Stormwater,D_OpenSpace,P_amount,P_chk,P_date,P_paidby,P_Roads,P_SewerTransmission,P_Parks,P_Stormwater
2245 Blackmoor Park Lane, 	845.38 ,1104,2/24/00,"Bryant Road, LLC",,309.33,536.06,,,,2886.00,21886,9/24/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2245 Shaker Run Road, 	996.66 ,1411,10/26/00,"Bryant Road, LLC",,364.68,631.98,,,,3403.00,31488,3/16/01,"Michael and Susan 
Thomas",1359.00,593.00,175.00,1276.00
2245 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2248 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2248 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2248 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2249 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2249 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2252 Blackmoor Park Lane, 	845.38 ,1249,8/16/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,25797,3/5/03,"Artique Custom Homes, LLC",1153.00,503.00,148.00,1082.00
2252 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2252 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2253 Blackmoor Park Lane, 	845.38 ,1152,11/10/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,21886,9/24/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2256 Blackmoor Park Lane, 	845.38 ,1132,6/8/00,Pickett Homes,,309.33,536.06,,,,2886.50,,12/8/00,Pickett Development Corporation,1153.09,502.86,148.45,1082.10
2256 Dunhill Lane," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2256 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2257 Blackmoor Park Lane, 	845.38 ,1135,6/26/00,Pickett Homes,,309.33,536.06,,,,2886.00,19836,1/29/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
2257 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2257 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2260 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2261 Blackmoor Park Lane, 	845.38 ,1127,5/18/00,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,19997,1/8/01,Artique Custom Homes,1153.00,503.00,148.00,1082.00
2261 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2261 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2264 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2265 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2265 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2268 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2269 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2269 Shaker Run Road, 	996.66 ,1260,7/31/00,Jeff Maynard Builders,,364.68,631.98,,,,3403.03,1304,3/8/01,Jeff Maynard Builders,1359.43,592.84,175.02,1275.74
2269 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2272 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2273 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2273 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2276 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2276 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2277 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2277 Sunningdale Drive," 	1,359.00 ",,6/2/03,Joe Hacker,,594.00,765.00,,,,594.00,,6/2/03,Joe Hacker,,594.00,,
2280 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2281 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2281 Sunningdale Drive," 	1,359.00 ",,6/2/03,Joe Hacker,,594.00,765.00,,,,594.00,,6/2/03,Joe Hacker,,594.00,,
2284 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2285 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2285 Sunningdale Drive," 	1,359.00 ",,12/31/99,,,594.00,765.00,,,,594.00,,12/31/99,,,594.00,,
2288 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2289 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2289 Sunningdale Drive," 	1,359.00 ",,12/31/99,,,594.00,765.00,,,,594.00,,12/31/99,,,594.00,,
2292 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2292 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/23/01,"Bryant Road, LLC",,594.00,,
2293 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2293 Sunningdale Drive," 	1,359.00 ",,6/2/03,Joe Hacker,,594.00,765.00,,,,594.00,,6/2/03,Joe Hacker,,594.00,,
2296 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2297 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2297 Sunningdale Drive," 	1,359.00 ",,6/2/03,Joe Hacker,,594.00,765.00,,,,594.00,,6/2/03,Joe Hacker,,594.00,,
2300 Cross Creek Trace," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2300 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2301 Cross Creek Trace," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/23/01,"Bryant Road, LLC",,594.00,,
2301 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2301 Sunningdale Drive," 	1,359.00 ",,6/2/03,Joe Hacker,,594.00,765.00,,,,594.00,,6/2/03,Joe Hacker,,594.00,,
2304 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2304 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2305 Cross Creek Trace," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2305 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2305 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2308 Cross Creek Trace," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2308 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2308 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2309 Cross Creek Trace," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2309 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2312 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2312 Sunningdale Drive," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2313 Cross Creek Trace," 	1,359.00 ",,7/26/01,"Bryant Road, LLC",,594.00,765.00,,,,594.00,,7/26/01,"Bryant Road, LLC",,594.00,,
2316 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2320 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2324 Market Garden Lane, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2329 Market Garden Lane, 	517.68 ,3123,4/2/08,Bryant Road LLC,,226.13,291.55,,,,226.13,3123,4/2/08,Bryant Road LLC,,226.13,,
2900 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2904 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2908 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2912 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2916 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2924 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2928 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2932 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2936 Polo Club Boulevard, 	517.68 ,,12/31/99,,,226.13,291.55,,,,226.13,,12/31/99,,,226.13,,
2996 Polo Club Boulevard, 	845.38 ,1246,5/10/02,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,24947,11/4/02,ARTIQUE CUSTOM HOMES ,1153.00,503.00,148.00,1082.00
3000 Blackmoor Park Circle, 	845.38 ,1167,1/29/01,North Fork Land Co. LLC,,309.33,536.06,,,,2886.00,20941,8/8/01,Pickett Development Corporation,1153.00,503.00,148.00,1082.00
