COMBINE ST & NAME,total pymts,,Lot,Total Paid,DIFF,,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,chk
3105 Sunningdale Court,1953,,"3105 Sunningdale Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3108 Dunhill Court,1953,,"3108 Dunhill Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3108 Oakhurst Lane,1953,,"3108 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3109 Dunhill Court,1953,,"3109 Dunhill Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3109 Sunningdale Court,1953,,"3109 Sunningdale Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3112 Dunhill Court,1953,,"3112 Dunhill Court  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3112 Oakhurst Lane,1953,,"3112 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3116 Oakhurst Lane,1953,,"3116 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3120 Oakhurst Lane,1953,,"3120 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3124 Oakhurst Lane,1953,,"3124 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3128 Oakhurst Lane,1953,,"3128 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3129 Oakhurst Lane,1953,,"3129 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3132 Oakhurst Lane,1953,,"3132 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3137 Oakhurst Lane,1953,,"3137 Oakhurst Lane  Lexington, KY","$1,359.00 ",$594.00 ,,,1188,765,,,,0
3060 Polo Club Boulevard,1589.66,,"3060 Polo Club Boulevard  Lexington, KY",$996.66 ,$593.00 ,,,957.68,631.98,,,,0
3200 Winged Foot Circle,1589.66,,"3200 Winged Foot Circle  Lexington, KY",$996.66 ,$593.00 ,,,957.68,631.98,,,,0
3205 Winged Foot Circle,1589.66,,"3205 Winged Foot Circle  Lexington, KY",$996.66 ,$593.00 ,,,957.68,631.98,,,,0
3232 Polo Club Boulevard,1589.66,,"3232 Polo Club Boulevard  Lexington, KY",$996.66 ,$593.00 ,,,957.68,631.98,,,,0
2201 Market Garden Lane,743.81,,"2201 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2208 Market Garden Lane,743.81,,"2208 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2212 Market Garden Lane,743.81,,"2212 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2216 Market Garden Lane,743.81,,"2216 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2217 Market Garden Lane,743.81,,"2217 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2220 Market Garden Lane,743.81,,"2220 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2221 Market Garden Lane,743.81,,"2221 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2224 Market Garden Lane,743.81,,"2224 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2228 Market Garden Lane,743.81,,"2228 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2232 Market Garden Lane,743.81,,"2232 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2236 Market Garden Lane,743.81,,"2236 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2240 Market Garden Lane,743.81,,"2240 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2244 Market Garden Lane,743.81,,"2244 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2248 Market Garden Lane,743.81,,"2248 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2257 Market Garden Lane,743.81,,"2257 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2261 Market Garden Lane,743.81,,"2261 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
2265 Market Garden Lane,743.81,,"2265 Market Garden Lane  Lexington, KY",$517.68 ,$226.13 ,,,452.26,291.55,,,,0
