Address,Roads,SewerTransmission,SewerCapacity,Parks,Stormwater,OpenSpace,PLAT,RES
440 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-874,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
441 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-874,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
444 Weston Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-874,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
448 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-874,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
452 Weston Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-874,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
240 Ellerslie Park Boulevard,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
244 Ellerslie Park Boulevard,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
248 Ellerslie Park Boulevard,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
252 Ellerslie Park Boulevard,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
256 Ellerslie Park Boulevard,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
260 Ellerslie Park Boulevard,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
456 Weston Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
460 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
461 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
463 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
465 Weston Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
468 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
469 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
472 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
473 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
476 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
488 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-873,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3845 Branham Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-872,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3849 Branham Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-872,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3869 Branham Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-872,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
489 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-872,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
492 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-872,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
493 Weston Park,1541.27,1444.79,662.69,566.12,2629.05,401.33,M-872,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
500 Weston Park,1256.8,1417.51,439.82,226.35,1653.54,401.34,M-872,SWR MEMO 7-28-04; NSWR MEMO 10-08-04
3348 Sweet Clover Lane,2256.19,,,1212.03,1135.51,225.79,M-710,NSWR RES401-2005
264 Jane Briggs Avenue,1409.2,1414.19,438.79,253.8,1194.84,200,M-70,SWR & NSWR RES282-2002
265 Richardson Place,1409.2,1414.19,438.79,253.8,1194.84,200,M-70,SWR & NSWR RES282-2002
268 Jane Briggs Avenue,1409.2,1414.19,438.79,253.8,1194.84,200,M-70,SWR & NSWR RES282-2002
