Address,entry_date,,,,
2097 Shaker Run Road,2/24/00,,,,
2098 Falling Leaves Lane,5/1/14,,,,
2101 Shaker Run Road,10/25/00,,,,
2104 Shaker Run Road,8/15/00,,,,
2105 Millstone Way,9/29/05,,,,
2105 Shaker Run Road,10/25/00,,,,
2108 Millstone Way,9/29/05,,,,
2108 Shaker Run Road,7/12/00,,,,
2109 Millstone Way,9/29/05,,,,
2109 Shaker Run Road,5/4/01,,,,
2112 Millstone Way,9/29/05,,,,
2112 Shaker Run Road,3/8/00,,,,
2113 Millstone Way,9/29/05,,,,
2113 Shaker Run Road,5/4/01,,,,
2116 Millstone Way,9/29/05,,,,
2117 Millstone Way,9/29/05,,,,
2117 Shaker Run Road,3/6/01,,,,
2117 Winning Colors Lane,11/14/05,,,,
2121 Millstone Way,9/29/05,,,,
2121 Shaker Run Road,3/9/01,,,,
2124 Millstone Way,9/29/05,,,,
2125 Millstone Way,9/29/05,,,,
2125 Shaker Run Road,11/8/00,,,,
2125 Winning Colors Lane,1/28/04,,,,
2129 Millstone Way,9/29/05,,,,
2129 Shaker Run Road,6/8/00,,,,
2133 Millstone Way,9/29/05,,,,
2133 Shaker Run Road,3/14/01,,,,
2133 Winning Colors Lane,4/12/04,,,,
2136 Millstone Way,9/29/05,,,,
2137 Millstone Way,9/29/05,,,,
2137 Shaker Run Road,12/28/00,,,,
2141 Millstone Way,9/29/05,,,,
2141 Shaker Run Road,12/28/00,,,,
2141 Winning Colors Lane,9/27/05,,,,
2144 Millstone Way,9/29/05,,,,
2145 Millstone Way,9/29/05,,,,
2145 Shaker Run Road,2/16/01,,,,
2148 Millstone Way,9/29/05,,,,
2149 Millstone Way,9/29/05,,,,
2149 Shaker Run Road,3/2/00,,,,
2149 Winning Colors Lane,7/23/03,,,,
2153 Millstone Way,9/29/05,,,,
2153 Shaker Run Road,3/27/00,,,,
2156 Millstone Way,9/29/05,,,,
2156 Winning Colors Lane,5/31/07,,,,
2157 Birkdale Drive,9/29/00,,,,
2157 Millstone Way,9/29/05,,,,
216 Ellerslie Park Boulevard,1/18/12,,,,
2160 Millstone Way,9/29/05,,,,
2161 Birkdale Drive,2/24/00,,,,
2161 Millstone Way,9/29/05,,,,
2164 Birkdale Drive,2/15/00,,,,
2164 Shaker Run Road,2/10/00,,,,
2165 Birkdale Drive,5/23/00,,,,
2165 Millstone Way,9/29/05,,,,
2165 Shaker Run Road,4/26/00,,,,
2168 Birkdale Drive,2/15/00,,,,
2168 Shaker Run Road,4/26/00,,,,
2169 Birkdale Drive,3/6/00,,,,
2169 Millstone Way,9/29/05,,,,
2169 Shaker Run Road,3/2/00,,,,
217 Grassland Park,5/26/11,,,,
2172 Birkdale Drive,2/16/00,,,,
2172 Millstone Way,9/29/05,,,,
2172 Shaker Run Road,6/30/00,,,,
2173 Birkdale Drive,3/6/00,,,,
2173 Millstone Way,9/29/05,,,,
2173 Shaker Run Road,5/22/00,,,,
2176 Birkdale Drive,2/16/00,,,,
2176 Shaker Run Road,3/27/00,,,,
2177 Birkdale Drive,7/31/00,,,,
2177 Millstone Way,9/29/05,,,,
