Row Labels,Sum of TotalCredits,Address,Sum of total credit,,DIFFERENCE,,Non-Sewer1,Non-Sewer2,Sewer,chk,NOTES
,,"4024 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4026 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4028 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4030 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4032 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4034 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4056 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4058 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4060 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4062 Livingston Lane  Lexington, KY"," 	9,774.63 ",," 	(9,774.63)",,-6732.7,,-3041.93,-9774.63,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4160 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4164 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4180 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4186 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4188 Needlerush Drive  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4221 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4229 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4233 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4234 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4241 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4257 Starrush Place  Lexington, KY"," 	10,561.72 ",," 	(10,561.72)",,-6347.28,,-4214.44,-10561.72,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"432 Weston Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"433 Weston Park  Lexington, KY"," 	4,297.05 ",," 	(4,297.05)",,-3011.14,,-1285.91,-4297.05,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"4440 Stuart Hall Boulevard  Lexington, KY"," 	2,158.55 ",," 	(2,158.55)",,,,-2158.55,-2158.55,ALL BALANCES SHOULD BE REMOVED; NO EXACTIONS CALCULATED ALL BALANCES $0; Note:This is lot 68 and per plat M-413 this is a non build lot and is to be consolidated to the Fayette County Schools
,,"477 Weston Park  Lexington, KY"," 	5,973.47 ",," 	(5,973.47)",,-4207.13,,-1766.34,-5973.47,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"481 Weston Park  Lexington, KY"," 	5,973.47 ",," 	(5,973.47)",,-4207.13,,-1766.34,-5973.47,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"485 Weston Park  Lexington, KY"," 	5,973.47 ",," 	(5,973.47)",,-4207.13,,-1766.34,-5973.47,REMOVE CREDITS-NONE HAVE BEEN ISSUED
,,"496 Weston Park  Lexington, KY"," 	4,886.69 ",," 	(4,886.69)",,-3436.47,,-1450.22,-4886.69,REMOVE CREDITS-NONE HAVE BEEN ISSUED
